id,poem,fate,marriage,interpretation
1,"久旱喜獲甘霖降 他鄉猶可遇故知 洞房喜慶花燭夜 金榜高掛題名時","緣份俱足","吉慶臨門","屬於大吉大利之象也!通常能夠雙喜臨門已屬罕見,更遑論是四喜臨門。所以由此觀之,你如今可說是功德圓滿,故能諸事如意,並在姻緣路上獲得應有福待機緣成熟,你便能心想事成,如願以償與意中人結成好連理。"
2,"稻禾滿穗結成完 此事必能兩相全 不須煩惱寬心坐 花開富貴月亦圓","稱心如意","美滿幸福","有努力才可能有收穫,凡事先苦而後方有甘,你目前在姻緣方面並沒有什麼好特別擔心的地方;縱然有,也都能夠有兩全其美的辦法可以解決,所以不用煩惱操心,一切如常就好,最終必能獲得令人開心之圓滿結果。"
3,"雙棲雙飛比翼鳥 互盤互依連理枝 修得福份皆俱足 神賜姻緣成眷屬","終成眷屬","如膠似漆","在天願作比翼鳥,在地願爲連理枝。你們的感情已到達如膠似漆一般,足以羨煞一堆人 有如此好的緣份,就該就該彼此珍惜。待福份俱足,神佛也會讓有情終成眷屬。已婚夫妻更是出雙入對,恩愛有加,真可謂是人間之神仙伴侶"
4,"關關雎鳩在河洲 窈窕淑女君好逑 兩情相悅紅線繫 佳偶天成共此生","兩情相悅","佳偶天成","雎鳩合鳴,代表情意相投。幽雅嫻靜的淑女正可與翩翩君子相匹配,可說是郎有情妹有意。男大當婚,女大當嫁,適婚年齡者本該勇於追求異性。只要兩情相悅,月老繫上紅線,良人得良緣,終可步上紅毯,琴瑟和鳴,白頭偕老。"
5,"雲開月出正分明 不須進退向前程 姻緣皆由天註定 和合清吉萬事成","掌握良機","恩愛終生","過去在姻緣路上或許不太順遂,但如今陰霾逐漸消散, 有否極泰來之勢,所以不須躊躇不前,應該敞開心胸去追求幸福。天註姻緣,終將讓你遇到合適的對象, 一切可馬到成功。夫妻懂得知福惜婚姻便可和合和諧,吉祥如意。"
6,"前世結下好姻緣 今生相逢赤線連 多福多子並多壽 一門嘉慶此為先","天賜良緣","福祉禎祥","你們雙方眞的很有緣份,因爲你在前世早已和對方結下好姻緣,故前世因今世果,此生得以再相遇,而月老也如願繫上紅線讓有情之人成雙對。此外,自婚後,你將擁有福祉禎祥及喜事連連之好運,但勿忘知福、惜福與再造福。"
7,"花開今已結成果 富貴榮華終擁有 姻緣和合無須慮 萬事清吉莫煩憂","如願以償","吉祥如意","你一直以來在姻緣方面所作的努力與付出,總算是皇天不負苦心人,如今已有令人滿意的成效顯現,所以將可擁有好的結果,故不必庸人自擾,也不需要有任何的憂慮,凡事和合清吉,正如同萬里無雲明月當空照一般。"
8,"有意栽花花不開 無心插柳柳成蔭 鸞鳳和鳴姻緣至 姻緣註定不須求","水到渠成","鸞鳳和鳴","男女之間感情之事是很微妙的,如果太刻意或強求,常常無法如願,往往在無意之間,你或許就可遇到令你心動的對象,故一切還是順其自然較好。而當雙方情投意合之後,便可攜手計劃共步紅毯 過著鶼鰈情深恩愛的夫妻生活。"
9,"夫婦有意兩相謀 綢繆未合反成愁 萬事逢春皆大吉 鴛鴦情懷總是詩","尋求共識","互敬互愛","雙方本已就未來提早作好了準備,奈何卻受某些因素影響,恐怕如今不僅計劃無法執行,還很傷腦筋,一時之間也不知道該如何是好?但姻緣早已註定,所以目前就等時來運轉,當冬去春來,問題消除後,凡事就可如意吉祥了。"
10,"自古路遙知馬力 鐵杵磨針莫心急 但得良辰吉日到 鑼鼓喧天賀聲連","靜心莫急","需有耐心","有好的實力與好的內在,就不怕競爭者的出現或不被對方所認同。時間可以證明一切,時間也可以考驗一個人的誠心毅力,所以不要被眼前的一些挫折所打敗,也不要心急,等到機緣成熟,好的時間點到了,當可滿堂吉慶喜臨門。"
11,"太公家業八十成 月出光輝四海明 命內自然逢大吉 茅屋中間百事亨","姻緣晚成","白頭偕老","因爲屬於你的時機尚未來到,故未婚者需要一些時日之後才有機會遇到適婚的對象,而且不論當事人是男是女,都較適合晚婚,故不需要心急,一切就等待上天的安排。而已婚者要互相包容、互敬互愛,便能相安無事,白頭偕老。"
12,"日出東方風雲散 七彩毫光照大千 陰霾退去春光現 嶺上冰雪不復見","陰霾漸散","問題消弭","過去沒能遇到好的機緣,也可能與目前交往的對象或配偶有過難解問題,故不順遂或有裂痕。但是從前種種譬如昨日死,以後種種譬如今日生,如今一切情勢已經由否轉泰,陰霾已經散去,故往後將不再有任何的煩惱與不愉快存在。"
13,"前世修得好緣因 一笑相逢情自親 不分軒輊無高下 誰會在意富與貧","神仙伴侶","真愛一生","因爲你在前世與今生的對象修得好的綠福報,而且也種下了善因善果,所以當兩人在人海中再次相遇,就有一種似曾相識的感覺,所以很自然的情緣就特別的濃厚,兩人只在乎天長地久,身份地位與貧富問題根本一點也不會在乎。"
